FacilityType,SupplyChainFlow,ShipToParty,ShipToName,ABCClass,ParentName,ShipToCountry,Material,MaterialDescription,Commodity,ProductGroup,ProductOrigin,QuantityInMT,TotalSalesValue,TotalCOGS,GM,TotalStorageCostPerYear,TotalHandlingCost,TotalDemurrageCost,IOC,TotalTransportCost,CBM,SGA,CBMAI,EBITAI,Segment
Daalimpex Harlingen - NL,EU to EU Direct,4014147,BIDFOOD BELGIUM,C,Bidfood,Belgium,121679,AWAR UHT CHF CLA EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,15.707,42180.48,39937.81610826051,2242.6638917394957,210.7027864193342,124.18826605249895,0,895.8395444129363,1200.8238294020925,706.9490098655701,1482.6100414813548,-188.8905345473662,-1671.5005760287208,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4014225,BIDFOOD MAKADY,C,Bidfood,Belgium,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,Cons. UHT,UHT Cream,Netherlands,30.72,56514.240000000005,53884.77813710344,2629.461862896562,409.72943116743954,242.88938264040027,0,1642.2215496681063,2767.2556355171646,-790.4125864284426,2899.712260413015,-2432.634136096549,-5332.346396509563,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4014225,BIDFOOD MAKADY,C,Bidfood,Belgium,121628,AWAR UHT CRM CUL CRM EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.024,0,55.96443402665515,-55.96443402665515,0.3219498869334705,0.18975733018781274,0,3.1367639541194308,169.93,-226.40614124377643,2.2654002034476677,-229.54290519789586,-231.80830540134352,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4014225,BIDFOOD MAKADY,C,Bidfood,Belgium,121679,AWAR UHT CHF CLA EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,10.473,28028.16,25852.695719900497,2175.4642800995025,140.49088191059317,82.80535496070678,0,597.3214202990184,917.1543644828347,1035.013678745368,988.564013779476,437.69225844634957,-550.8717553331264,Semi Managed
Daalimpex Harlingen - NL,EU to EU Direct,4014302,GELATO & BAKERY EXPERTS SA,C,Gelato & Bakery Experts,Greece,121679,AWAR UHT CHF CLA EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,220.78,586621.44,516254.5867477213,70366.85325227864,2961.6706682154836,1745.609306619387,0,12592.057975137715,0,65659.57327744376,20839.79403821567,53067.51530230605,32227.721264090378,Smart Serve
Daalimpex Harlingen - NL,EU to EU Direct,4014617,B&S PURCHASE B.V.,C,B&S Purchase,Netherlands,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,Cons. UHT,UHT Cream,Netherlands,27.207,51857.28,48028.09144513638,3829.18855486362,362.87463000561615,215.1136534341592,0,1454.4245345644586,1094.362740367603,2156.8375310562415,2568.114305633362,702.4129964917829,-1865.7013091415793,Smart Serve
Daalimpex Harlingen - NL,EU to EU Direct,4014617,B&S PURCHASE B.V.,C,B&S Purchase,Netherlands,121679,AWAR UHT CHF CLA EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,138.66400000000002,377824.2,341724.0576792908,36100.14232070919,1860.1191300726148,1096.354601381786,0,7908.620015692075,3450.4972596323973,29693.171329622393,13088.727242119474,21784.55131393032,8695.824071810845,Smart Serve
Daalimpex Harlingen - NL,EU to EU Direct,4014720,UHRENHOLT A/S,C,Uhrenholt,Netherlands,121710,AWAR UHT CRM UHRENHOLT 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,89.107,299664.29,235709.60252338,63954.68747661999,1195.332857290865,704.5294342102262,0,2865.3063681615486,0,62054.8251851189,8410.958997025471,59189.51881695735,50778.55981993188,Smart Serve
Daalimpex Harlingen - NL,EU to EU Direct,4014763,ACCOM CZECH A.S.,C,Accom Holdings,Czech Republic,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,Cons. UHT,UHT Cream,Netherlands,5.266,10679.04,9944.714630668752,734.325369331249,70.23552032967893,41.63592086537591,0,281.5084205908935,1195.5996940809534,-573.1457659447592,497.06656130647576,-854.6541865356527,-1351.7207478421285,Smart Serve
Daalimpex Harlingen - NL,EU to EU Direct,4014763,ACCOM CZECH A.S.,C,Accom Holdings,Czech Republic,121679,AWAR UHT CHF CLA EU 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,44.509,126829.44,113569.66354315152,13259.776456848485,597.0694798967432,351.9128753887232,0,2538.5447432530327,10644.400305919047,1666.3937956439713,4201.279068968844,-872.1509476090614,-5073.430016577905,Smart Serve
